Instructor,Course Title,Section,Course ID,Online course materials were organized to help me navigate th…,Online interactions with my instructor created a sense of conne…,Online course interactions created a sense of community and…,I had the necessary computer skills and technology to success…,The syllabus was accurate and helpful in delineating expectati…,Required and additional course materials were helpful in achie…,In-class sessions were helpful for learning.,Out-of-class assignments and/or fieldwork were helpful for lear…,This course was intellectually challenging.,I learned a lot in this course.,The instructor came to class prepared to teach.,The instructor used class time effectively.,The instructor clearly communicated ideas and information.,The instructor provided sufficient feedback.,The instructor fairly evaluated my performance.,The instructor was available to assist students outside of class.,The instructor facilitated a respectful and inclusive learning env…,The instructor displayed enthusiasm for the course.,What is your overall rating of this instructor's teaching effective…,The Syllabus Provided a clear description of course goals and…,The textbook(s) helped me to learn.,"The materials used in this course (lectures, videos, ect.) were…",The assignments and fieldwork helped me to learn.,The lectures helped me to learn.,The course discussions and activities helped me to learn.,The technology used in this course helped me to learn,I found this course intellectually challenging.,I would recommend this course to other students.,I learned to apply course concepts and principles.,I developed additional communication skills in this course.,"I learned to analyze and evaluate ideas, arguments, and points…",Working with my classmates in this course helped me to learn.,I had the necessary technological skills for this course.,Technical support was available when needed.,The amount of interaction with the lead instructor met my learn…,The lead instructor clearly communicated ideas and information.,The lead instructor demonstrated expertise in the subject matter.,The lead instructor clearly stated the objectives of the course.,The lead instructor covered material stated in the course objec…,The section instructor fairly evaluated my performance.,The section instructor provided feedback that was timely and v…,I would recommend this section instructor to other students.,The section instructor treated students with respect.,The section instructor acknowledged and took effective action…,The section instructor was able to address my content questio…,The section instructor displayed enthusiasm for the course.,The amount of interaction with my section instructor met my le…
"Tochilnikova, Elina",Player Experience,01,13603,-2.5,-1.8,-1.7,0.0,-2.5,-2.3,-2.8,-1.0,-0.6,-1.0,-2.5,-2.5,-3.0,-2.6,-2.5,-1.4,-1.3,-1.8,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tochilnikova, Elina",Player Experience,02,13604,-2.8,-2.1,-1.9,-1.7,-2.6,-2.5,-2.8,-2.5,-1.3,-3.0,-3.0,-2.9,-2.7,-2.8,-2.3,-2.3,-3.2,-2.9,-2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chukoskie, Leanne",Biometrics for Design,02,18026,0.5,0.2,0.5,0.0,0.2,0.2,0.5,0.2,0.4,0.5,0.3,0.5,0.7,0.1,0.5,0.6,0.4,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cortez, Armando",Intro to Health Informatics,01,10964,0.1,0.0,0.3,0.2,0.0,0.0,0.1,0.2,-0.4,0.0,0.1,0.1,0.0,0.2,-0.3,0.2,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Turner, Catherine",Intro to Health Informatics,02,11048,-0.2,0.1,0.3,0.2,-1.0,-1.0,-0.6,-1.0,0.4,-0.2,-0.1,0.0,-0.4,-0.8,-0.4,-0.2,-0.1,-0.6,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bartolotta, James",Data Management in Healthcare,02,11886,0.0,0.0,-0.1,-0.1,-0.1,0.0,-0.4,-0.3,0.1,-0.1,-0.2,-0.2,-0.1,-0.1,-0.1,-0.1,-0.2,-0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Powell, Adam",Global Health Information Mgmt,01,12254,0.4,-0.3,-0.2,-0.1,0.4,0.6,0.6,-0.1,-1.2,0.4,0.3,0.4,0.4,0.4,0.1,0.4,0.3,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Goodwin, Matthew",Personal Health Informatics,01,11408,0.4,0.7,0.6,0.4,0.4,0.6,0.6,0.2,0.6,0.4,0.1,0.2,0.4,0.4,0.4,0.2,0.3,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Robbins, Shari",Org Behavior  Change Mgmt,01,10563,0.0,0.3,0.3,0.2,0.0,0.2,0.4,0.0,-0.1,0.0,0.2,0.3,0.3,0.2,0.2,-0.1,0.1,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maloney, Marie",Business Hlthcare Informatics,01,13143,0.4,0.2,0.5,0.4,0.1,0.3,0.3,0.6,0.1,0.1,0.3,0.4,0.4,0.4,0.1,0.4,0.3,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ries, Daniel",Creation of Medical Knowledge,02,11777,0.2,0.5,0.1,0.2,0.0,0.2,0.2,0.2,-0.2,-0.2,0.3,0.4,0.4,0.4,0.2,0.2,0.3,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spitulnik, Jay",Project Management,01,17124,-0.6,-1.0,-0.7,0.2,-0.6,-0.4,-0.9,-0.1,-0.2,-0.1,-0.7,-0.6,-0.3,-0.8,-0.3,0.1,-0.4,-0.5,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Foster, Jamon",Database Design and Security,02,11046,-0.1,0.1,0.1,-0.1,0.2,0.0,0.2,0.2,0.2,0.3,-0.1,-0.1,0.0,0.1,0.1,0.2,0.1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ries, Daniel",Intro to Health Data Analytics,01,12548,-0.3,-0.6,-0.6,-0.6,-0.2,-0.1,-0.5,-0.1,0.1,-0.2,-0.3,-0.5,-0.2,0.0,-0.2,-0.3,-0.4,-0.1,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Powell, Adam",Quantify Val of Informatics,01,13142,-0.1,-0.3,-0.2,-0.1,-0.1,0.1,-0.9,-0.9,-0.7,-0.6,-0.7,-0.6,-0.6,-0.6,-0.6,-0.6,-0.2,-0.8,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heefner, Gretchen",History at NU,01,20150,0.4,-0.4,-0.2,0.2,0.3,0.1,0.4,0.6,-1.0,0.1,-0.1,0.3,0.3,0.5,0.3,0.3,0.2,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Parr, Jessica","Public History, Public Memory",01,20112,-0.7,-0.8,-0.6,0.1,-0.4,-0.9,-0.9,-1.0,-1.2,-1.3,-0.5,-1.1,-0.6,-0.5,-0.6,-0.3,-0.4,-0.8,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Freeland, Richard",History of the United States,02,15724,-0.6,-0.4,-0.2,0.2,-0.2,-0.1,0.4,-0.4,0.7,0.4,0.2,-0.7,-0.2,0.5,-0.2,-0.2,0.2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thai, Philip",East Asian Studies,02,12382,0.1,-0.3,-0.3,-0.1,0.1,-0.1,0.1,-0.2,-0.5,-0.1,0.0,0.1,0.1,-0.3,-0.2,-0.4,-0.1,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Henderson, Mark",East Asian Studies,30,20344,0.4,0.6,0.8,-0.3,0.1,-0.2,0.4,0.0,-0.3,0.0,0.2,0.3,0.3,0.1,-0.1,0.1,0.2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Megowan, Erina",Europe: Empires/Revolutns/Wars,01,12288,0.2,0.4,0.4,0.1,0.1,0.1,0.3,0.2,0.3,0.1,0.1,0.1,0.0,-0.1,-0.2,0.0,0.0,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Khuri-Makdisi, Ilham",Intro Middle Eastern History,01,16899,0.2,-0.6,-0.7,-0.2,0.3,0.4,0.4,0.2,0.5,0.2,0.2,0.1,0.1,0.5,0.3,0.3,0.2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cain, Victoria",Historical Research  Writing,01,11923,0.2,-0.2,0.0,0.2,-0.2,-0.1,0.2,0.2,0.5,-0.2,0.2,0.1,-0.1,0.5,-0.3,0.1,0.0,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Linker, Jessica",Historical Research  Writing,03,19675,-4.6,-4.4,-4.2,-4.8,0.3,0.4,0.4,-1.4,0.7,0.4,0.2,0.3,0.3,0.5,0.3,0.3,0.2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cain, Victoria",First-Year Seminar,01,11628,0.4,-0.4,0.8,0.2,0.3,0.4,-0.1,0.1,0.2,-0.1,0.2,-0.2,0.3,0.5,0.3,0.3,0.2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Linker, Jessica",First-Year Seminar,02,19676,-0.4,-0.1,0.0,0.2,0.2,-0.3,-0.2,0.0,0.1,-0.2,-0.4,-0.4,-0.3,0.4,0.2,0.0,0.1,0.1,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Walker, Louise",Drug Trade and Drug War,01,19677,-0.8,-0.6,-0.4,-0.2,-0.2,-0.8,-0.8,-0.7,-0.8,-0.5,-0.3,-1.2,-1.1,-1.1,-0.5,-0.5,-0.3,0.0,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Purinton, Malcolm",Origins of Today,02,19678,0.4,0.3,0.8,0.2,0.3,0.4,-0.3,0.6,0.4,0.4,-0.4,0.0,0.3,0.5,0.3,0.3,0.2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Parr, Jessica",History of Boston,01,20120,-1.8,0.2,-0.2,-0.2,-0.7,-0.4,-0.6,-0.1,-0.6,-0.8,-0.6,-0.9,-1.0,-0.3,-0.2,-0.5,-0.1,-0.3,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cullen, Jennifer",Japanese Literature  Culture,01,19679,0.0,-0.1,0.1,-0.2,0.0,0.1,0.1,0.1,-0.1,0.1,0.0,-0.2,0.0,-0.3,0.1,0.0,0.0,-0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fraunholtz, Peter",History of the Soviet Union,01,19680,-0.1,-0.9,-0.4,-0.3,-0.2,-0.6,-1.1,0.1,-0.3,-0.3,-1.3,-1.2,-0.4,-0.7,-0.2,-0.7,-0.3,-0.5,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Parsons, Christopher",Intro to Health and Humanities,01,15310,0.0,0.2,0.2,0.2,-0.1,0.0,0.2,0.4,0.2,0.2,0.0,-0.1,-0.2,-0.4,-0.2,0.1,0.1,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Megowan, Erina",Espionage 2: Cold War Spies,01,13425,-0.4,-0.1,0.1,-0.2,-0.4,-0.4,-0.4,-0.4,-0.1,-0.1,0.0,0.0,0.0,-0.3,-0.4,-0.2,-0.3,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Purinton, Malcolm",The World Since 1945,01,12072,0.1,0.1,0.2,0.0,0.0,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.0,0.1,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fraunholtz, Peter",The World Since 1945,03,11027,0.2,-0.1,0.3,0.0,-0.2,-0.6,-0.6,0.1,0.5,0.2,0.0,-0.4,-0.7,-0.5,-0.9,-0.2,-0.5,-0.5,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Purinton, Malcolm",History of Technology,02,15200,0.1,0.0,0.2,0.0,0.2,0.1,0.2,-0.2,-0.4,0.0,0.1,0.2,0.2,0.1,0.0,0.0,0.1,0.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bormann, Natalie",Holocaust/Comparative Genocide,02,14221,0.3,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.5,0.1,0.1,0.1,0.1,0.2,0.0,0.1,0.0,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leff, Laurel",America and the Holocaust,01,20145,0.4,0.6,0.8,0.2,0.3,0.4,0.4,0.6,0.7,0.4,0.2,0.3,0.3,0.5,0.3,0.3,0.2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Walker, Louise",The History Seminar,01,10441,-0.6,-0.9,-1.2,0.2,0.0,0.1,0.4,-0.1,0.4,0.1,0.2,0.3,0.3,0.5,0.3,-0.4,0.2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Walker, Louise",Historical Writing,01,10367,-4.6,-4.4,-4.2,-4.8,-4.7,-4.6,-4.6,-4.4,-4.3,-4.6,-4.8,-4.7,-4.7,-4.5,-4.7,-4.7,-4.8,-4.8,-4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abels, Margot",Gender  Reproductive Justice,01,19907,-0.2,0.2,0.2,0.0,-0.2,-0.1,0.3,-0.1,0.2,0.0,0.2,0.2,0.3,-0.6,-0.9,0.1,0.2,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thai, Philip",Law  Society in Modern China,01,19682,-0.2,0.2,0.2,0.0,0.2,-0.1,0.0,-0.1,0.5,0.2,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salter, Heather",Colonialism/Imperialism,01,13426,0.3,0.2,0.1,0.0,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.3,0.3,0.3,0.2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baumgartner, Kabria",African Ameri Hist Before 1900,01,20364,0.4,0.6,0.8,0.2,0.3,0.4,0.4,0.1,0.7,0.4,0.2,0.3,0.3,0.5,0.3,0.3,0.2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thornton, Michael",Modern Japan,01,15201,0.2,0.1,0.2,0.0,0.1,0.1,0.2,0.1,0.3,0.2,0.1,0.2,0.2,0.3,0.1,0.1,0.1,0.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cross, Robert",Renaissance to Enlightenment,01,19683,0.4,-0.2,-0.5,0.2,0.3,0.2,0.3,0.5,0.6,0.3,0.2,0.2,0.1,0.3,0.2,0.2,0.1,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Luongo, Katherine",Africa  World in Early Times,01,19684,-1.1,-2.4,-0.2,-0.8,-0.7,-1.6,-1.9,-2.1,-1.0,-0.9,-0.8,-1.0,-1.7,-1.5,-1.0,-1.4,-1.1,-1.1,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shibley, Natalie","Race, Sex, and Science",01,19790,-0.6,-4.4,-4.2,-0.8,-0.2,-0.1,-0.1,-0.4,-0.3,-0.1,-0.3,-0.2,-0.2,-0.5,-0.2,-0.2,0.2,-0.3,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Megowan, Erina",Assassinations - World History,01,14215,-1.1,-0.5,-0.2,-0.2,-1.2,-0.6,-0.3,-0.3,-0.1,-0.2,-0.4,-0.8,-0.7,-0.4,-0.2,-0.2,-0.2,-0.3,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sheldon, Marianne",Topics in History,31,20347,0.4,-4.4,-4.2,0.2,0.3,0.4,0.4,-0.7,0.4,0.1,0.2,0.3,0.3,0.5,0.3,-0.4,0.2,-0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Luongo, Katherine",Capstone Seminar,01,10442,-0.6,-1.4,-4.2,-0.8,-0.7,-0.6,-2.6,-1.4,-1.3,-1.6,-2.8,-3.7,-2.7,-1.5,-2.7,-1.7,-1.8,-2.8,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sheldon, Marianne",Capstone Seminar,30,20738,-4.6,-4.4,-4.2,-4.8,0.3,0.4,0.4,0.6,0.7,0.4,0.2,0.3,0.3,0.5,0.3,0.3,0.2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Parsons, Christopher",Theory and Methodology 1,01,10670,-0.4,0.1,-0.5,-0.1,-0.5,-0.4,-0.3,-0.2,0.0,-0.4,-0.1,-0.2,-0.2,-0.5,-0.2,-0.2,-0.3,-0.3,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nieves, Angel",Issues/Methods Public History,01,11289,0.4,0.6,0.8,0.2,-0.2,0.4,0.4,0.6,0.7,0.4,0.2,0.3,0.3,0.5,0.3,0.3,0.2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Khuri-Makdisi, Ilham",Topics in World History,01,19686,0.4,0.6,0.8,0.2,0.3,0.4,0.4,0.6,0.7,0.4,0.2,0.3,0.3,0.5,0.3,0.3,0.2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baumgartner, Kabria",Topics in Public History,01,16905,-0.6,-0.1,-0.2,-0.1,0.1,0.4,0.2,0.4,0.2,0.2,0.2,0.3,0.3,0.3,-0.2,0.3,0.2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Linker, Jessica",Readings/Methods Digital Hist,02,12643,0.1,0.3,0.3,-0.9,-0.1,-0.1,0.1,0.3,0.7,0.2,0.1,0.1,-0.1,0.4,0.2,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boossarangsi, Benjamin",Basic Skills Healthcare Prof,01,16404,0.1,-0.1,0.2,0.1,0.1,0.2,0.1,0.3,-0.2,0.1,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Corey, Domenic",Basic Skills Healthcare Prof,01,16404,0.1,-0.1,0.2,0.1,0.1,0.2,0.1,0.3,-0.2,0.1,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.2,-0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boossarangsi, Benjamin",Basic Skills Healthcare Prof,02,16405,0.0,-0.1,0.1,-0.1,0.0,0.2,0.2,0.2,-0.1,0.1,0.3,0.4,0.3,0.2,0.3,0.3,0.4,0.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Corey, Domenic",Basic Skills Healthcare Prof,02,16405,0.0,-0.1,0.1,-0.1,0.0,0.2,0.2,0.2,-0.1,0.1,-0.3,-0.4,-0.3,-0.3,-0.3,-0.4,-0.4,-0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boossarangsi, Benjamin",Basic Skills Healthcare Prof,03,16406,0.1,-0.2,-0.1,0.1,0.1,0.1,0.1,-0.1,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.3,0.2,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Corey, Domenic",Basic Skills Healthcare Prof,03,16406,0.1,-0.2,-0.1,0.1,0.1,0.1,0.1,-0.1,0.2,0.2,-0.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boossarangsi, Benjamin",Basic Skills Healthcare Prof,04,16407,-0.1,0.0,-0.2,-0.1,-0.3,-0.5,-0.3,-0.3,0.0,-0.1,0.2,0.1,0.1,0.0,-0.1,0.0,0.0,0.1,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Corey, Domenic",Basic Skills Healthcare Prof,04,16407,-0.1,0.0,-0.2,-0.1,-0.3,-0.5,-0.3,-0.3,0.0,-0.1,-0.3,-0.3,-0.3,-0.5,-0.7,-0.5,-0.5,-0.4,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pare, Judith",Interprof Ethics Ind/Pop Hlth,02,20790,0.1,0.0,0.2,0.0,0.0,-0.2,-0.6,-0.1,-0.1,-0.4,0.0,0.0,0.2,0.4,0.4,0.0,0.2,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boossarangsi, Benjamin",Emergency Med Tech Training,01,12395,0.1,0.1,-0.1,0.0,0.2,0.4,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.4,0.2,0.4,0.3,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Corey, Domenic",Emergency Med Tech Training,01,12395,0.1,0.1,-0.1,0.0,0.2,0.4,0.2,0.3,0.2,0.2,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Williams, Matthew",Emergency Med Tech Training,01,12395,0.1,0.1,-0.1,0.0,0.2,0.4,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Corey, Domenic",Emergency Med Tech Training,02,21360,-0.4,0.1,0.3,-0.1,-0.1,0.1,-0.1,0.2,0.2,-0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gale, Kevan",Mindfulness: Theory  Practice,01,13202,0.1,0.4,0.6,0.2,0.0,0.0,0.2,0.1,-0.3,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fitzpatrick, Diane",(dis)Ability in Society,01,11535,0.2,0.4,0.6,0.2,0.2,0.4,0.1,0.4,0.2,0.1,0.3,0.3,0.3,-0.3,0.1,0.3,0.3,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Paparounas, Demetra",Intro Stats Hlth Behav Sci,01,18147,0.3,0.4,0.4,0.2,0.2,0.1,-0.4,0.4,0.1,0.1,0.4,0.1,0.4,0.4,0.4,0.4,0.4,0.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ballentine, Philip",Intro Stats Hlth Behav Sci,02,19335,-2.0,-2.3,-2.1,-1.1,-1.8,-1.9,-3.1,-2.5,-0.8,-2.5,-2.6,-2.6,-2.6,-1.3,-0.6,-1.6,-0.6,-1.6,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cross, Robert",Honors Inquiry,01,13484,0.3,-0.1,-0.2,0.1,0.5,0.5,0.6,0.1,0.7,0.4,0.2,0.5,0.5,0.2,0.0,0.3,0.1,0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eigen, Stanley",Honors Inquiry,03,15128,-0.1,-0.2,-0.3,-0.2,0.1,0.1,-0.3,0.2,-0.8,-0.4,0.0,-0.2,-0.1,0.2,0.2,-0.3,-0.1,0.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mingolla, Ennio",Honors Inquiry,04,15129,0.6,0.2,-0.1,0.2,-0.9,0.1,-0.1,0.2,0.6,0.0,-0.2,-0.1,-1.3,-0.7,0.2,0.2,0.1,0.0,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rabrenovic, Gordana",Honors Inquiry,05,20142,0.6,0.8,0.7,0.2,0.6,0.5,0.5,0.6,0.2,0.0,0.3,0.5,0.5,0.8,0.5,0.5,0.3,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MacDonald, Michael",Honors Inquiry,06,13663,-0.4,0.6,0.3,0.2,-0.1,-0.5,-0.2,0.0,0.4,0.2,-0.7,-1.4,-0.4,-0.2,0.3,-0.1,-0.3,0.1,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lykourinou, Vasiliki",Honors Inquiry,07,20175,0.3,0.1,0.1,0.0,0.0,0.2,-0.6,-0.2,-0.4,-0.1,-0.2,0.1,-0.9,0.3,0.3,0.3,0.1,-0.1,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blum, Linda",Honors Inquiry,08,20589,0.1,-0.6,-0.6,-0.2,0.3,-0.1,0.2,-0.3,-0.3,0.3,0.0,0.0,-0.2,-0.2,-0.2,-0.2,-0.8,-0.1,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hayward, Lorna",Honors Seminar,01,14959,0.1,-0.5,-0.2,-0.1,0.0,0.4,-0.1,0.1,-0.5,-0.4,0.0,-0.1,-0.4,-0.2,0.2,-0.8,-0.4,0.1,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mingolla, Ennio",Honors Seminar,02,20143,0.6,0.6,0.2,0.1,0.0,0.4,0.4,0.5,0.6,0.1,0.2,0.2,0.0,0.1,0.1,0.4,0.3,0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kaufman, Jonathan",Honors Seminar,03,20322,-0.9,-1.4,-1.2,-0.1,-1.8,-1.1,-0.6,-0.9,-0.2,-0.9,-0.4,-0.4,-0.6,-2.4,-1.5,-1.0,-1.2,-0.6,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Landsmark, Theodore",Honors Seminar,03,20322,-0.9,-1.4,-1.2,-0.1,-1.8,-1.1,-0.6,-0.9,-0.2,-0.9,-0.2,-0.4,-0.1,-1.0,-0.8,-0.7,0.0,-0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MacDonald, Michael",Honors Seminar,04,13637,-1.2,-0.5,-0.5,-0.5,-0.1,-0.4,-0.6,-0.4,-0.9,-0.4,-0.3,-0.6,-0.3,-0.4,-0.3,-0.7,-0.1,-0.3,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Noonan, Ellen",Honors Seminar,05,15133,0.5,0.8,0.8,0.2,0.6,0.2,0.6,0.7,0.7,0.5,0.3,0.6,0.5,0.8,0.5,0.0,0.3,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kelting, Mary",Honors Seminar,06,20144,0.6,0.4,0.4,0.0,0.0,0.0,0.2,-0.1,0.2,0.4,0.1,0.4,0.5,0.3,0.1,0.0,0.3,0.1,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Simon, Peter",Honors Seminar,07,20165,-0.7,-0.2,-0.2,0.1,0.1,0.0,-0.3,-0.7,-0.8,0.0,0.2,0.0,0.1,0.1,0.3,-0.5,-0.1,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eddleston, Kimberly",Honors Seminar,12,15428,-0.2,0.3,0.2,0.1,0.6,0.4,0.5,0.4,0.4,0.5,0.3,0.2,0.6,0.7,0.2,0.5,0.3,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gonso, Kathleen",Honors Seminar,14,16907,0.3,0.2,0.3,0.2,0.3,0.1,0.5,0.6,0.1,0.2,0.1,0.3,0.4,0.5,0.4,0.4,0.3,0.1,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chukoskie, Leanne",Honors Seminar,15,20588,-0.9,-0.2,-0.2,-0.4,-0.4,-0.6,-0.8,-0.2,0.1,-0.3,-0.4,-0.4,-0.5,-0.2,-0.4,-0.1,0.2,-0.2,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baskerville, Marla",Managing People  Organizatns,02,10640,0.0,0.0,0.0,0.1,0.3,0.3,0.2,0.3,0.1,0.1,0.4,0.1,0.3,0.1,0.2,0.0,-0.1,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arrowood, Rick",Managing People  Organizatns,03,10688,-0.4,-0.3,-0.2,-0.3,-0.5,-0.4,-0.5,-0.3,-0.4,-0.4,-0.6,-0.6,-0.6,-0.5,-0.5,-0.4,-0.5,-0.4,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Huang, Laura",Managing People  Organizatns,04,20629,0.3,0.3,0.2,0.2,0.4,0.3,0.2,0.2,0.3,0.2,0.3,0.4,0.3,0.5,0.3,0.2,0.3,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
