Instructor,Course Title,Section,Course ID,Online course materials were organized to help me navigate th…,Online interactions with my instructor created a sense of conne…,Online course interactions created a sense of community and…,I had the necessary computer skills and technology to success…,The syllabus was accurate and helpful in delineating expectati…,Required and additional course materials were helpful in achie…,In-class sessions were helpful for learning.,Out-of-class assignments and/or fieldwork were helpful for lear…,This course was intellectually challenging.,I learned a lot in this course.,The instructor came to class prepared to teach.,The instructor used class time effectively.,The instructor clearly communicated ideas and information.,The instructor provided sufficient feedback.,The instructor fairly evaluated my performance.,The instructor was available to assist students outside of class.,The instructor facilitated a respectful and inclusive learning env…,The instructor displayed enthusiasm for the course.,What is your overall rating of this instructor's teaching effective…,The Syllabus Provided a clear description of course goals and…,The textbook(s) helped me to learn.,"The materials used in this course (lectures, videos, ect.) were…",The assignments and fieldwork helped me to learn.,The lectures helped me to learn.,The course discussions and activities helped me to learn.,The technology used in this course helped me to learn,I found this course intellectually challenging.,I would recommend this course to other students.,I learned to apply course concepts and principles.,I developed additional communication skills in this course.,"I learned to analyze and evaluate ideas, arguments, and points…",Working with my classmates in this course helped me to learn.,I had the necessary technological skills for this course.,Technical support was available when needed.,The amount of interaction with the lead instructor met my learn…,The lead instructor clearly communicated ideas and information.,The lead instructor demonstrated expertise in the subject matter.,The lead instructor clearly stated the objectives of the course.,The lead instructor covered material stated in the course objec…,The section instructor fairly evaluated my performance.,The section instructor provided feedback that was timely and v…,I would recommend this section instructor to other students.,The section instructor treated students with respect.,The section instructor acknowledged and took effective action…,The section instructor was able to address my content questio…,The section instructor displayed enthusiasm for the course.,The amount of interaction with my section instructor met my le…,The work we did in the laboratory course helped me to perform…,The work we did in the lecture course helped me to perform be…,The undergraduate teaching fellow (undergraduate teaching a…,If this course had teaching assistants that held regular office h…,I was able to follow the pace of the lecture and understood the…,The grading of quizzes and case studies was fair.,I felt comfortable to ask questions. I felt comfortable to voice cr…,The real-life anecdotes and hands-on experience and insights…
"DePaoli, Alexander",Introduction to Marketing,20,20049,-0.8,-0.5,-0.5,-1.1,0.1,0.0,0.3,0.0,-0.1,0.2,0.2,0.3,0.4,0.3,0.2,0.0,0.1,0.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Parker, Kenneth",Introduction to Marketing,21,20906,-0.5,0.3,0.3,0.3,-0.6,-0.4,-0.3,-0.5,-0.4,-0.1,-0.4,-0.6,-0.2,-0.3,-0.4,0.2,0.0,0.1,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maultsby-Lute, Carrie",Introduction to Marketing,30,20505,-0.2,-1.4,-0.9,-0.6,-0.3,-0.7,-0.1,-0.2,-0.1,-0.3,0.1,0.3,0.3,-0.2,0.0,-0.1,0.1,0.1,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Singh, Ravinder",Introduction to Marketing,320,21292,0.3,1.2,1.2,0.1,0.2,0.3,0.5,0.6,0.2,0.4,0.3,0.4,0.6,0.7,0.7,0.4,0.4,0.1,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sieloff, Jeffrey",Introduction to Marketing,01,10912,,,,,,,,,,0.7,,,,,,,,,,0.5,0.3,0.7,0.8,0.8,0.7,0.8,0.4,1.0,0.6,0.1,0.4,0.3,0.2,0.5,0.7,0.6,0.3,0.6,0.6,1.2,1.0,1.1,0.8,1.0,0.8,0.4,0.7,,,,,,,,
"Sieloff, Susan",Introduction to Marketing,01,10912,,,,,,,,,,0.7,,,,,,,,,,0.5,0.3,0.7,0.8,0.8,0.7,0.8,0.4,1.0,0.6,0.1,0.4,0.3,0.2,0.5,0.7,0.6,0.3,0.6,0.6,1.2,1.0,1.1,0.8,1.0,0.8,0.4,0.7,,,,,,,,
"Gallagher, Sean",Introduction to Marketing,02,10913,0.6,0.5,0.4,0.6,0.3,0.1,-0.1,0.1,-0.3,0.2,0.2,0.1,0.4,-0.2,0.1,0.1,0.2,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lefevre, Duane",Introduction to Marketing,03,10914,,,,,,,,,,0.1,,,,,,,,,,0.0,-0.7,-0.4,-0.2,-0.6,-0.3,-0.3,0.5,-0.6,-0.2,-0.2,-0.2,0.1,-0.1,-0.8,-0.3,-0.1,0.2,-0.2,-0.2,-0.4,-0.1,-0.2,-0.5,-0.6,-0.5,-0.2,-0.5,,,,,,,,
"Sieloff, Susan",Introduction to Marketing,03,10914,,,,,,,,,,0.1,,,,,,,,,,0.0,-0.7,-0.4,-0.2,-0.6,-0.3,-0.3,0.5,-0.6,-0.2,-0.2,-0.2,0.1,-0.1,-0.8,-0.3,-0.1,0.2,-0.2,-0.2,-0.4,-0.1,-0.2,-0.5,-0.6,-0.5,-0.2,-0.5,,,,,,,,
"Sieloff, Jeffrey",Introduction to Marketing,04,11170,,,,,,,,,,-0.4,,,,,,,,,,-0.3,0.4,0.1,0.1,-0.1,-0.2,-0.3,0.0,0.4,-0.2,0.1,0.0,0.0,-0.1,-0.8,-0.2,-0.8,-0.6,-0.5,-0.5,-1.4,-0.9,-0.2,-0.1,-0.3,-0.5,-0.9,-0.4,,,,,,,,
"Sieloff, Susan",Introduction to Marketing,04,11170,,,,,,,,,,-0.4,,,,,,,,,,-0.3,0.4,0.1,0.1,-0.1,-0.2,-0.3,0.0,0.4,-0.2,0.1,0.0,0.0,-0.1,-0.8,-0.2,-0.8,-0.6,-0.5,-0.5,-1.4,-0.9,-0.2,-0.1,-0.3,-0.5,-0.9,-0.4,,,,,,,,
"Stewart, Rachel",Introduction to Marketing,05,11273,,,,,,,,,,-1.1,,,,,,,,,,-0.8,0.6,-2.9,-2.2,-2.8,-1.9,-2.0,-2.0,-2.6,-1.2,-0.9,-1.0,-0.7,-0.4,-0.6,-2.0,-2.3,-1.8,-2.2,-1.2,-1.4,-2.1,-2.0,-1.8,-2.1,-2.3,-1.2,-2.2,,,,,,,,
"Sieloff, Susan",Introduction to Marketing,05,11273,,,,,,,,,,-1.1,,,,,,,,,,-0.8,0.6,-2.9,-2.2,-2.8,-1.9,-2.0,-2.0,-2.6,-1.2,-0.9,-1.0,-0.7,-0.4,-0.6,-2.0,-2.3,-1.8,-2.2,-1.2,-1.4,-2.1,-2.0,-1.8,-2.1,-2.3,-1.2,-2.2,,,,,,,,
"McCullough, Robert",Introduction to Marketing,06,11274,,,,,,,,,,-1.1,,,,,,,,,,-1.3,-0.4,-1.4,-1.7,-1.3,-1.4,-1.0,-0.5,-0.6,-1.2,-1.4,-1.0,-1.2,-0.9,-0.6,-1.5,-1.8,-0.3,-1.2,-1.2,-1.4,-1.1,-1.5,-1.3,-1.6,-1.3,-0.7,-0.7,,,,,,,,
"Sieloff, Susan",Introduction to Marketing,06,11274,,,,,,,,,,-1.1,,,,,,,,,,-1.3,-0.4,-1.4,-1.7,-1.3,-1.4,-1.0,-0.5,-0.6,-1.2,-1.4,-1.0,-1.2,-0.9,-0.6,-1.5,-1.8,-0.3,-1.2,-1.2,-1.4,-1.1,-1.5,-1.3,-1.6,-1.3,-0.7,-0.7,,,,,,,,
"Wright, Frederick",Introduction to Marketing,07,11291,,,,,,,,,,-1.1,,,,,,,,,,-0.3,-0.4,-0.9,0.3,-0.3,0.1,-1.0,-1.0,-2.1,-0.2,-1.4,-0.5,-1.2,0.1,-0.1,-1.5,-0.8,-0.3,-0.2,-0.2,-1.9,-0.6,-2.5,-0.8,-1.1,-0.8,-0.7,-1.7,,,,,,,,
"Sieloff, Susan",Introduction to Marketing,07,11291,,,,,,,,,,-1.1,,,,,,,,,,-0.3,-0.4,-0.9,0.3,-0.3,0.1,-1.0,-1.0,-2.1,-0.2,-1.4,-0.5,-1.2,0.1,-0.1,-1.5,-0.8,-0.3,-0.2,-0.2,-1.9,-0.6,-2.5,-0.8,-1.1,-0.8,-0.7,-1.7,,,,,,,,
"Garvey, Myles",Quant Analysis Consumer Data,01,19310,-1.2,-0.2,-0.2,-0.7,-1.0,-1.1,-1.4,-1.0,-0.9,-1.4,-1.4,-2.0,-1.4,-1.0,-1.1,-0.6,-0.4,-0.4,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clark, Bruce",Marketing Management,01,10368,0.2,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.2,0.2,0.3,0.4,0.5,0.4,0.2,0.2,0.3,0.1,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McCullough, Robert",Marketing Management,02,10367,0.2,0.3,0.2,0.2,-0.2,0.1,-0.4,-0.1,0.0,-0.4,-0.3,-1.0,-0.9,-0.4,-0.5,0.0,-0.4,0.1,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McCullough, Robert",Marketing Management,03,10366,-0.5,0.4,-0.4,-0.2,-0.1,-0.2,0.1,-0.1,0.6,0.2,0.0,-0.6,-0.3,0.0,-0.1,-0.2,-0.2,0.2,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kurt, Didem",Marketing Management,04,11755,0.2,0.6,0.3,-0.2,0.3,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.0,-0.2,0.2,-0.2,0.1,-0.2,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Weaver, Raymond",Marketing Management,05,12433,0.5,-0.6,-0.6,0.8,0.6,0.6,0.7,0.7,0.4,0.4,0.4,0.6,0.6,0.8,0.7,0.6,0.5,0.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Karlinsky Shichor, Yael",Marketing Research,01,10365,0.4,0.1,-0.2,0.0,0.0,-0.1,0.3,0.1,0.5,0.2,0.1,0.0,0.0,0.3,0.2,0.3,0.1,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mathras Fay, Daniele",Marketing Research,02,10364,0.7,0.6,0.5,0.4,0.5,0.5,0.5,0.6,0.7,0.6,0.4,0.5,0.6,0.7,0.6,0.4,0.4,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Karlinsky Shichor, Yael",Marketing Research,03,10363,0.1,0.0,0.2,-0.1,0.0,-0.3,0.0,-0.1,-0.1,-0.2,-0.1,-0.2,-0.3,-0.3,0.0,-0.4,0.1,-0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mathras Fay, Daniele",Marketing Research,04,11756,0.5,-0.7,-0.3,0.4,0.2,0.3,0.6,0.5,0.2,0.4,0.3,0.5,0.6,0.6,0.4,0.3,0.4,0.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lassk, Felicia",Marketing Research,05,13512,-0.1,-0.4,-0.5,-0.1,0.1,0.1,0.0,0.2,0.3,0.1,0.2,0.0,-0.1,0.4,0.0,0.2,0.1,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Karlinsky Shichor, Yael",Marketing Research,06,15589,-0.2,0.2,0.1,-0.5,0.0,0.0,0.3,0.2,0.2,0.4,0.1,0.1,0.0,-0.2,0.0,-0.4,-0.2,-0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lee, Shun-Yang",Marketing Analytics,01,12612,0.3,0.1,0.0,0.2,0.1,0.1,0.3,0.3,0.6,0.5,0.1,0.2,0.5,0.3,0.3,0.1,0.1,-0.1,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mathras Fay, Daniele",Brand Management,01,16651,0.6,0.9,0.7,0.4,0.4,0.4,0.5,0.6,0.2,0.4,0.3,0.5,0.5,0.6,0.5,0.4,0.4,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stewart, Rachel",Advertising  Brand Promotion,01,10919,-0.4,-1.1,-0.7,-0.3,-0.3,-0.3,-0.5,0.1,0.1,0.0,-0.2,-0.5,-0.3,-0.2,-0.4,-0.2,-0.3,0.0,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"O'Connor, Chad",Advertising  Brand Promotion,02,16606,0.4,1.1,1.1,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.4,0.2,0.1,0.1,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Keeney, Ashley",Consumer Behavior,01,11275,0.1,0.0,0.1,0.2,0.2,0.2,0.4,0.3,0.2,0.4,0.2,0.2,0.4,0.4,0.2,-0.1,0.1,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kurt, Didem",Consumer Behavior,02,13513,-0.2,-0.1,-0.2,-0.2,0.2,0.0,-0.1,0.1,0.0,0.1,0.1,0.1,0.1,-0.3,0.3,-0.2,0.2,-0.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DePaoli, Alexander",Digital Marketing,01,15166,0.6,0.2,-0.2,0.4,0.2,0.2,0.5,0.5,0.4,0.6,0.1,0.3,0.5,0.2,0.5,0.4,0.3,0.1,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grinstein, Amir",International Marketing,01,19688,-0.2,0.4,0.2,0.3,-0.2,-0.3,-0.1,-0.2,-0.1,-0.1,0.2,0.1,0.1,-0.2,-0.5,0.0,0.1,0.1,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Runge, Julian",Create Value Data and AI Tech,01,20175,1.0,1.7,1.7,0.6,0.6,0.7,0.7,0.7,0.7,0.6,0.4,0.4,0.7,0.7,0.8,0.4,0.5,0.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chan, Chee",Special Topics in Marketing,01,21481,0.0,-1.4,-1.4,0.8,-0.4,0.4,-0.3,0.9,0.9,0.8,0.1,-0.1,0.4,0.2,0.5,0.3,0.5,0.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Garvey, Myles",Special Topics in Marketing,01,21481,0.0,-1.4,-1.4,0.8,-0.4,0.4,-0.3,0.9,0.9,0.8,0.1,0.3,0.7,0.2,0.1,-0.1,0.5,0.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mortimer, Niland",Creating/Sustain Cust Markets,01,10698,-0.1,0.6,0.4,0.3,-0.2,-0.2,-0.1,0.2,-0.2,-0.2,0.1,0.0,0.0,-0.3,0.2,-0.3,0.3,0.2,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sultan, Fareena",Creating/Sustain Cust Markets,02,10697,-0.2,-0.1,-0.3,0.5,-0.5,-0.5,-0.6,-0.3,-0.3,-0.6,-0.3,-0.6,-0.5,-0.6,-1.2,-0.1,-0.9,-0.4,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dovidio, Justin",International Marketing,01,14916,0.3,1.3,1.1,0.1,-0.2,0.1,-0.2,0.1,0.2,-0.1,-0.1,-0.3,-0.1,0.0,0.0,0.0,0.3,-0.3,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kurt, Didem",Consumer Behavior,01,13516,0.2,0.7,0.9,0.4,0.5,0.4,0.3,0.6,0.2,0.4,0.2,0.4,0.3,0.3,0.5,0.2,0.3,0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kumar, Smriti",Marketing Analytics,01,16607,-0.8,-0.3,0.0,-0.5,-0.7,-0.7,-1.2,-0.7,-0.2,-0.7,-1.4,-1.3,-1.7,-1.2,-0.7,-0.4,-0.7,-1.2,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kumar, Smriti",Marketing Analytics,02,17646,-1.2,-0.4,-0.4,-0.4,-0.9,-0.3,-1.3,-0.6,-0.3,-0.9,-1.9,-1.9,-1.8,-1.6,-1.7,-0.7,-1.5,-1.9,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pauwels, Koen",Customer Performance Modeling,01,13672,0.0,1.2,1.6,0.8,-0.1,0.4,-1.0,0.9,0.2,0.5,-0.6,-0.1,-0.6,0.6,0.5,-0.1,0.2,0.0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Huer, Jennifer",Principles of Health Advocacy,01,21077,-0.2,0.1,0.5,0.0,-0.2,-0.3,-0.2,-0.1,0.0,-0.5,-0.1,-0.2,-0.6,-1.0,-0.3,0.0,-0.1,0.1,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baginski, Robert",Principles of Health Advocacy,01,21077,-0.2,0.1,0.5,0.0,-0.2,-0.3,-0.2,-0.1,0.0,-0.5,0.4,0.5,0.4,0.5,0.5,0.5,0.4,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bondy, Mary",Healthcare Leadership Seminar,01,21083,0.3,0.6,0.5,0.2,0.1,0.2,0.1,0.3,0.2,0.1,0.2,0.3,0.2,0.3,0.3,0.3,0.2,0.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baginski, Robert",Healthcare Leadership Seminar,01,21083,0.3,0.6,0.5,0.2,0.1,0.2,0.1,0.3,0.2,0.1,0.4,0.5,0.4,0.5,0.5,0.5,0.4,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Owens, Jane",Research Methods and Design,01,21090,0.3,0.6,0.7,0.0,0.1,0.2,0.3,0.4,0.5,0.1,0.2,0.3,0.2,0.3,0.3,0.2,0.2,0.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baginski, Robert",Research Methods and Design,01,21090,0.3,0.6,0.7,0.0,0.1,0.2,0.3,0.4,0.5,0.1,0.4,0.5,0.4,0.5,0.5,0.5,0.4,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blake, Nathan",Film 101,01,12362,0.3,0.2,0.8,0.0,0.0,0.1,-0.4,0.1,-0.2,-0.2,0.0,-0.3,-0.1,0.3,0.2,0.1,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ahnert, Laurel","Media, Culture, and Society",01,11555,0.6,0.4,0.7,0.3,0.1,0.0,-0.1,-0.2,-0.1,-0.2,0.1,0.2,0.3,0.1,0.3,0.0,0.0,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cowan, Jake","Media, Culture, and Society",30,20501,0.2,-0.5,0.3,0.2,0.1,0.2,0.2,0.1,0.2,0.1,0.0,0.1,0.1,0.2,0.1,-0.1,0.0,0.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mulliken, Seth",Intro to Film Production,01,16566,0.9,0.4,0.5,0.8,0.4,0.6,0.3,0.7,0.1,0.5,0.2,0.4,0.4,-0.4,-1.0,0.3,0.3,0.2,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mulliken, Seth",Intro to Film Production,02,12257,-0.2,0.3,1.0,0.1,-0.2,0.1,0.3,0.3,0.4,0.4,0.0,0.2,0.2,-0.3,0.1,0.0,0.2,0.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tames, David",Intro to Film Production,03,12258,0.5,1.5,1.6,0.6,0.4,0.4,-0.1,0.5,-0.4,0.3,-0.2,-0.6,-0.2,-0.2,0.1,0.3,-0.3,-0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Weigel, Moira",Media and Social Change,02,16568,0.8,0.8,0.8,0.7,0.3,0.2,0.4,0.4,0.4,0.3,0.1,0.2,0.2,0.4,0.4,0.4,0.3,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forman, Murray",Media History,01,13437,0.6,-0.5,-1.6,0.5,0.0,-0.7,-0.1,-0.2,0.1,-0.2,0.1,0.0,-0.3,-0.3,-0.1,-0.4,-0.1,0.1,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Robertson, Craig",Media History,02,20396,0.0,-0.3,-0.2,-0.3,0.2,0.1,0.4,0.3,0.1,-0.1,0.1,0.3,0.3,0.6,0.5,0.5,0.3,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tarulli, Geoff",Narrative Filmmaking,01,14045,-1.6,-0.3,0.0,-1.2,0.2,0.4,0.0,0.2,0.3,0.3,0.0,0.2,0.2,0.4,0.0,-0.2,0.1,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mulliken, Seth",Understanding Media,01,13438,-0.6,-0.3,-0.2,-0.7,-0.3,0.4,-0.5,-0.5,-0.4,-0.5,-0.3,-0.6,0.1,0.1,0.0,0.5,-0.2,-0.3,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cannon, Kristopher",Television: Text  Context,01,19592,-0.8,-1.1,-1.1,-0.8,-0.1,0.4,0.4,0.1,-0.1,0.3,0.1,0.4,0.2,-0.3,0.3,0.0,0.1,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Weigel, Moira",Global Media,01,19593,0.6,0.7,0.5,0.4,0.2,0.3,0.2,-0.1,0.7,0.2,0.0,0.1,0.1,0.4,0.3,0.3,0.2,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ahnert, Laurel",American Film and Culture,01,17339,0.9,1.9,2.0,0.8,0.4,0.6,0.5,0.7,0.6,0.5,0.2,0.4,0.4,0.6,0.5,0.5,0.3,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blake, Nathan",Film Analysis,01,16406,0.6,-0.2,-0.3,0.6,0.3,0.2,0.5,0.2,0.3,0.3,0.1,0.2,0.3,0.4,0.4,0.3,0.3,0.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fontana, Ellen",Screenwriting,01,14046,0.4,-0.1,-0.2,0.6,-0.4,-0.1,0.0,0.5,0.3,0.2,0.0,-0.1,-0.1,0.6,0.3,0.0,0.1,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fontana, Ellen",Screenwriting: Feature Films,01,19594,0.3,-0.7,-0.6,0.2,0.0,0.2,0.1,0.3,0.2,0.1,0.0,0.2,0.4,0.4,0.5,0.1,0.1,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fontana, Ellen",Screenwriting: Feature Films,02,19595,0.2,-0.4,-0.3,0.5,-0.6,0.6,-0.2,0.4,0.1,0.5,0.2,-0.3,0.4,0.6,0.5,0.2,0.3,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ahnert, Laurel",Gender and Film,01,20460,0.7,0.2,1.5,0.6,-0.1,0.4,0.3,0.5,0.3,0.3,0.0,0.2,0.2,0.1,0.0,0.3,0.1,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cannon, Kristopher",Digital Media Culture,01,14646,0.9,0.5,0.6,0.6,0.4,0.6,0.5,0.5,0.8,0.5,0.2,0.4,0.4,0.6,0.5,0.5,0.3,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forman, Murray",Media Audiences,01,19596,0.1,0.3,0.2,0.6,-0.4,0.2,0.1,-0.5,0.4,0.1,0.0,0.2,-0.2,-0.2,0.1,0.3,0.3,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cannon, Kristopher",Media and Identity,01,19597,0.9,-0.6,-0.5,0.8,0.4,0.6,0.5,0.2,0.8,0.5,0.2,0.4,0.4,0.6,0.5,-0.5,-0.2,-0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ouillette, Timothy",Documentary Production,01,19598,-0.6,0.5,0.0,0.2,-0.1,-0.5,-0.5,0.5,-0.1,-0.1,-0.5,-1.0,-0.2,0.1,0.0,0.3,0.2,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blake, Nathan",Film Theory,01,19599,0.7,-0.2,-0.2,0.1,0.2,0.3,0.2,0.4,0.6,0.2,0.0,0.2,0.2,0.3,0.2,0.3,0.1,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Morreale, Joanne",TV History,01,19601,0.9,-0.5,-0.4,0.6,0.4,0.6,0.5,0.5,0.6,0.3,0.2,0.2,0.4,0.6,0.5,0.5,0.3,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feinstein, Allen",Music at NU,01,10445,-0.3,-1.2,-1.3,-0.6,-0.1,-0.1,-0.2,-0.4,-1.1,-0.6,-0.3,-0.2,-0.2,0.0,0.0,0.0,0.0,-0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cowart, Steed",Music in Everyday Life,30,20500,-0.1,0.4,-0.1,-0.3,-0.6,-0.3,-0.8,-0.5,-1.0,-0.8,-0.3,-0.5,0.0,-0.4,-0.2,-0.3,-0.3,0.0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gutierrez, James",Music in Everyday Life,31,20552,0.5,0.3,0.6,0.3,-0.2,-0.2,-0.4,-0.2,-0.4,-0.3,-0.1,-0.2,-0.2,-0.7,-0.3,-0.5,-0.4,-0.2,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Betsold, Allison",Basics Western Music Notation,01,20346,1.5,-2.6,-2.7,1.4,0.6,0.6,0.6,0.7,0.5,0.7,0.3,0.5,0.5,0.6,0.4,0.6,0.3,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Landgrebe, Junauro",Jazz,01,11490,0.8,0.8,0.8,0.8,0.2,0.1,0.0,0.0,-0.2,0.0,0.1,0.2,0.2,0.0,0.0,0.0,-0.1,-0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"De Ritis, Anthony",Fundamentals of Music Theory,05,14852,0.3,0.8,0.4,0.5,0.1,0.2,0.2,0.2,0.5,0.3,-0.1,-0.1,-0.1,0.1,-0.2,0.1,-0.1,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gutierrez, James",Fundamentals of Music Theory,10,19632,0.9,0.0,-0.4,1.0,-0.1,0.0,0.2,0.0,0.6,0.3,0.1,0.3,-0.2,-0.1,0.0,-0.2,-0.1,0.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sowa, Joseph",Fundamentals of Music Theory,11,19633,0.4,0.5,0.4,0.4,0.3,0.3,0.4,0.1,0.3,0.1,0.2,0.3,0.3,0.4,0.3,0.2,0.2,0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wilsey, Jennifer",Fundamentals of Music Theory,30,20512,1.0,1.4,1.3,0.9,0.6,0.6,0.6,0.7,0.5,0.7,0.3,0.0,0.0,0.6,0.4,0.6,0.3,0.2,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
